scenario_name,run_index,random_seed,request_success_rate,sla_violation_rate,average_successful_batch_delay_ms,p95_successful_batch_delay_ms,average_active_memory_mb,peak_active_memory_mb,cold_start_function_stages,total_cold_start_delay_ms,slow_decision_updates,slow_mode_switches,total_request_delay_cost,total_memory_cost,total_cold_start_cost,total_sla_penalty,total_slow_control_cost,total_system_cost
fixed_dynamic,23,5023,1.0,0.06896551724137931,268.8204137931035,1775.448,1798.5641025641025,3072.0,12,6400.0,1,0,15591.584000000003,2104.32,1280.0,20000.0,770.0,39745.904
two_timescale,23,5023,1.0,0.0,158.47558620689654,285.0,2153.025641025641,3072.0,0,0.0,13,4,9191.584,2519.04,0.0,0.0,1010.0,12720.624
fixed_single,24,5024,0.8152173913043478,0.1896551724137931,151.59574468085106,285.0,1536.0,1536.0,0,0.0,1,0,7125.0,1797.1200000000001,0.0,55000.0,770.0,64692.12
fixed_cold,24,5024,1.0,0.1896551724137931,471.0968275862069,1886.896,1680.4102564102564,3072.0,33,17600.0,1,0,27323.616,1966.08,3520.0,55000.0,770.0,88579.696
fixed_hot,24,5024,1.0,0.0,167.64855172413792,286.896,3072.0,3072.0,0,0.0,1,0,9723.616,3594.2400000000002,0.0,0.0,770.0,14087.856
fixed_dynamic,24,5024,1.0,0.1724137931034483,443.5106206896552,1886.896,1877.3333333333333,3072.0,30,16000.0,1,0,25723.616,2196.48,3200.0,50000.0,770.0,81890.096
two_timescale,24,5024,1.0,0.06896551724137931,277.99337931034484,1775.448,2205.5384615384614,3072.0,12,6400.0,13,4,16123.616000000002,2580.48,1280.0,20000.0,1010.0,40994.096000000005
fixed_single,25,5025,0.9021739130434783,0.08620689655172414,148.77358490566039,285.0,1536.0,1536.0,0,0.0,1,0,7885.0,1797.1200000000001,0.0,25000.0,770.0,35452.12
fixed_cold,25,5025,1.0,0.08620689655172414,296.75917241379307,1776.048,1601.6410256410256,3072.0,15,8000.0,1,0,17212.032000000003,1873.92,1600.0,25000.0,770.0,46455.952000000005
fixed_hot,25,5025,1.0,0.0,158.8281379310345,285.0,3072.0,3072.0,0,0.0,1,0,9212.032,3594.2400000000002,0.0,0.0,770.0,13576.271999999999
fixed_dynamic,25,5025,1.0,0.06896551724137931,269.1729655172414,1776.048,1798.5641025641025,3072.0,12,6400.0,1,0,15612.032000000003,2104.32,1280.0,20000.0,770.0,39766.352
two_timescale,25,5025,1.0,0.017241379310344827,186.41434482758623,302.0015999999998,2166.153846153846,3072.0,3,1600.0,13,4,10812.032000000001,2534.4,320.0,5000.0,1010.0,19676.432
fixed_single,26,5026,0.9782608695652174,0.034482758620689655,152.67857142857142,285.0,1536.0,1536.0,0,0.0,1,0,8550.0,1797.1200000000001,0.0,10000.0,770.0,21117.120000000003
fixed_cold,26,5026,1.0,0.034482758620689655,208.63613793103448,285.0,1562.2564102564102,3072.0,6,3200.0,1,0,12100.896,1827.8400000000001,640.0,10000.0,770.0,25338.736
fixed_hot,26,5026,1.0,0.0,153.46372413793105,285.0,3072.0,3072.0,0,0.0,1,0,8900.896,3594.2400000000002,0.0,0.0,770.0,13265.136
fixed_dynamic,26,5026,1.0,0.034482758620689655,208.63613793103448,285.0,1772.3076923076924,3072.0,6,3200.0,1,0,12100.896,2073.6,640.0,10000.0,770.0,25584.496
two_timescale,26,5026,1.0,0.017241379310344827,181.04993103448277,285.0,2166.153846153846,3072.0,3,1600.0,13,4,10500.896,2534.4,320.0,5000.0,1010.0,19365.296000000002
fixed_single,27,5027,0.9456521739130435,0.06896551724137931,153.05555555555554,285.0,1536.0,1536.0,0,0.0,1,0,8265.0,1797.1200000000001,0.0,20000.0,770.0,30832.120000000003
fixed_cold,27,5027,1.0,0.06896551724137931,266.9351724137931,1775.448,1588.5128205128206,3072.0,12,6400.0,1,0,15482.24,1858.56,1280.0,20000.0,770.0,39390.8
fixed_hot,27,5027,1.0,0.0,156.5903448275862,285.0,3072.0,3072.0,0,0.0,1,0,9082.24,3594.2400000000002,0.0,0.0,770.0,13446.48
fixed_dynamic,27,5027,1.0,0.034482758620689655,211.76275862068965,285.88439999999997,1772.3076923076924,3072.0,6,3200.0,1,0,12282.240000000002,2073.6,640.0,10000.0,770.0,25765.840000000004
